guid,title,pubDate,description,link,media
b'https://www.livemint.com/companies/news/byjus-indias-mrinal-mohit-steps-down-arjun-mohan-to-succeed-as-ceo-report-11695207472135.html',"b""Byju's India's Mrinal Mohit steps down; Arjun Mohan to succeed as CEO""","b'Wed, 20 Sep 2023 16:34:30 +0530'","b'Arjun Mohan, who was a part of the founding team and last served as the Chief Business Officer, rejoined the company recently. He spent the last three months working closely with the founder and Group CEO Byju Raveendran.'",b'https://www.livemint.com/companies/news/byjus-indias-mrinal-mohit-steps-down-arjun-mohan-to-succeed-as-ceo-report-11695207472135.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/Byjus_1694576304962_1695207655902.JPG
b'https://www.livemint.com/companies/news/totalenergies-to-invest-300-million-in-jv-with-adani-green-energy-11695206181370.html',b'TotalEnergies to invest $300 million in JV with Adani Green Energy',"b'Wed, 20 Sep 2023 16:09:56 +0530'",b'TotalEnergies to invest $300 million in a joint venture with Adani Green Energy for renewable energy project.',b'https://www.livemint.com/companies/news/totalenergies-to-invest-300-million-in-jv-with-adani-green-energy-11695206181370.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/ADANI-GREEN-INVESTMENT-TOTAL-ENEREG-0_1695206265722_1695206299162.JPG
b'https://www.livemint.com/companies/news/akasa-air-set-to-reduce-flights-after-several-pilots-quit-abruptly-11695199455285.html',b'Akasa Air set to reduce flights after several pilots quit abruptly',"b'Wed, 20 Sep 2023 14:58:02 +0530'","b'Budget carrier Akasa Air reduces flights due to resignations, will give up market share for stable operations.'",b'https://www.livemint.com/companies/news/akasa-air-set-to-reduce-flights-after-several-pilots-quit-abruptly-11695199455285.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/INDIA-MUMBAI-FLIGHTS-1_1695201295396_1695201314443.jpg
b'https://www.livemint.com/companies/news/qantas-former-ceo-alan-joyce-takes-almost-900-pay-rise-but-bonus-cut-amid-pending-lawsuit-11695197048360.html',"b'Qantas former CEO Alan Joyce takes almost 900% pay rise, but bonus cut amid pending lawsuit'","b'Wed, 20 Sep 2023 14:15:19 +0530'","b'Former Qantas CEO Alan Joyce received a 872% pay increase when he left the company, claiming long-term incentives.'",b'https://www.livemint.com/companies/news/qantas-former-ceo-alan-joyce-takes-almost-900-pay-rise-but-bonus-cut-amid-pending-lawsuit-11695197048360.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/Alan_Joyce_1695199489332_1695199489563.jpg
b'https://www.livemint.com/companies/walt-disney-nearly-doubles-parks-spending-to-invest-60-billion-over-next-decade-11695172414733.html',"b'Walt Disney nearly doubles parks spending, to invest $60 billion over next decade'","b'Wed, 20 Sep 2023 08:15:05 +0530'",b'Disney plans to invest $60 billion in its parks business over the next decade to drive long-term growth.',b'https://www.livemint.com/companies/walt-disney-nearly-doubles-parks-spending-to-invest-60-billion-over-next-decade-11695172414733.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/JAPAN-ENTERTAINMENT-DISNEY-ANNIVERSARY-6_1682599789772_1695172897990.jpg
b'https://www.livemint.com/companies/news/hdfc-bank-s-jagdishan-gets-3-yr-extension-11695151595365.html',b'HDFC Bank\xe2\x80\x99s Jagdishan gets 3-year extension',"b'Wed, 20 Sep 2023 00:59:09 +0530'",b'Sashidhar Jagdishan joined the bank in 1996 as a manager in the finance function and became business head of finance in 1999',b'https://www.livemint.com/companies/news/hdfc-bank-s-jagdishan-gets-3-yr-extension-11695151595365.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/3-0-112822110-Sashidhar-Jagdishan--ABH0061-0_1679843355305_1695151666577.JPG
b'https://www.livemint.com/companies/news/hdfc-bank-may-face-margin-net-worth-hit-11695151336165.html',"b'HDFC Bank may face margin, net worth hit'","b'Wed, 20 Sep 2023 00:55:51 +0530'","b'Net interest margin may narrow 25bps due to the combined effect of incremental cash reserve ratio and excess liquidity, analysts cited chief financial officer Srinivasan Vaidyanathan as saying'",b'https://www.livemint.com/companies/news/hdfc-bank-may-face-margin-net-worth-hit-11695151336165.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/INDIA-SEBI-HDFC-BANK-0_1688144781720_1695151486353.JPG
b'https://www.livemint.com/companies/news/to-mitigate-risks-india-needs-two-vibrant-bourses-11695150765382.html',"b'To mitigate risks, India needs two vibrant bourses, says BSE CEO'","b'Wed, 20 Sep 2023 00:47:20 +0530'","b""Investors have given a thumbs up to Ramamurthy\xe2\x80\x99s efforts, with BSE's stock rising 128% from  \xe2\x82\xb9547.3 on 4 January to  \xe2\x82\xb91,246.35 on 18 September""",b'https://www.livemint.com/companies/news/to-mitigate-risks-india-needs-two-vibrant-bourses-11695150765382.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/BSE_1684265445379_1695174481955.jpg
b'https://www.livemint.com/companies/news/yet-to-finalize-pe-ipo-route-to-raise-funds-unicommerce-11695148999471.html',"b'Yet to finalize PE, IPO route to raise funds: Unicommerce'","b'Wed, 20 Sep 2023 00:20:17 +0530'","b'According to CEO Kapil Makhija, an IPO is on the cards despite headwinds and funding challenges faced by tech startups'",b'https://www.livemint.com/companies/news/yet-to-finalize-pe-ipo-route-to-raise-funds-unicommerce-11695148999471.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/lenskart_1695149205182_1695149255501.jpg
b'https://www.livemint.com/companies/news/deepak-chahar-launches-dnine-sports-a-line-of-cricket-gear-and-clothing-to-support-young-athletes-in-india-11695149109399.html',"b'Chahar debuts brand for sports gear, shoes'","b'Wed, 20 Sep 2023 00:15:08 +0530'","b'The company\xe2\x80\x99s sports line will feature cricket shoes, accessories, clothing, and more. It will operate under LCDC Athletics Pvt Ltd, with both the cricketer and his father, Lokendra Singh Chahar, serving as co-founders.'",b'https://www.livemint.com/companies/news/deepak-chahar-launches-dnine-sports-a-line-of-cricket-gear-and-clothing-to-support-young-athletes-in-india-11695149109399.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/Cricketer-Deepak-Chahar_1695149102385.png
b'https://www.livemint.com/companies/news/hansgrohe-plans-to-expand-presence-in-indian-bathroom-solutions-market-with-new-ceramics-line-11695148807052.html',b'Hansgrohe to expand bathroom portfolio',"b'Wed, 20 Sep 2023 00:10:06 +0530'","b'The luxury segment constitutes 4-6% of the Indian market, compared to 40% in developed markets like Germany. In China, it\xe2\x80\x99s 15-20%.'",b'https://www.livemint.com/companies/news/hansgrohe-plans-to-expand-presence-in-indian-bathroom-solutions-market-with-new-ceramics-line-11695148807052.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/Hansgrohe-India-MD-Gaurav-Malhotra_1695148802443.jpeg
b'https://www.livemint.com/companies/news/we-aim-to-double-jeep-compass-sales-in-india-by-end-dec-11695147985077.html',b'\xe2\x80\x98We aim to double Jeep Compass sales in India by end Dec\xe2\x80\x99',"b'Wed, 20 Sep 2023 00:08:55 +0530'",b'Stellantis plans to double sales of the Jeep Compass SUV in India by the end of 2023 with an affordable variant.',b'https://www.livemint.com/companies/news/we-aim-to-double-jeep-compass-sales-in-india-by-end-dec-11695147985077.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/Aditya_Jairaj_1695148613638_1695148631480.jpeg
b'https://www.livemint.com/companies/news/indigo-stops-serving-beverages-in-cans-onboard-flights-11695140747961.html',"b""This Indian airline stops serving beverages in cans onboard flights. Here's why""","b'Tue, 19 Sep 2023 23:02:38 +0530'","b'IndiGo stops serving beverages in cans onboard flights, offers complimentary glass of juice or coke with a snack purchase'",b'https://www.livemint.com/companies/news/indigo-stops-serving-beverages-in-cans-onboard-flights-11695140747961.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/IndiGo_1695144381559_1695144381745.JPG
b'https://www.livemint.com/companies/news/psu-bank-rally-raises-concerns-as-volumes-hit-record-highs-but-analysts-remain-hopeful-for-sustained-growth-11695143166985.html',b'Analysts allay fears of exuberance in public sector banks',"b'Tue, 19 Sep 2023 22:36:06 +0530'","b'After the one month rally through 18 September some of the smaller banks in the 12-member index have valuations topping those of larger peers SBI, Bank of Baroda and Punjab National Bank.'",b'https://www.livemint.com/companies/news/psu-bank-rally-raises-concerns-as-volumes-hit-record-highs-but-analysts-remain-hopeful-for-sustained-growth-11695143166985.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/PSBs_1695147448635_1695147448912.jpg
b'https://www.livemint.com/companies/news/lessors-should-move-division-bench-of-high-court-go-first-rp-11695132458338.html',b'Lessors should move division bench of High Court: Go First RP',"b'Tue, 19 Sep 2023 19:40:59 +0530'",b'The RP argued that the single bench of the court should not pass any directives',b'https://www.livemint.com/companies/news/lessors-should-move-division-bench-of-high-court-go-first-rp-11695132458338.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/INDIA-GO-FIRST-BANKS-0_1688980282991_1695132632984.JPG
